[04.06.2022, 23:46:48] Nurseit: ‎Messages and calls are end-to-end encrypted. Only people in this chat can read, listen to, or share them.
[04.06.2022, 23:46:48] Nurseit: ‎‪+7 775 352 9865‬ changed their phone number. You're currently chatting with their new number
[06.05.2025, 17:24:48] Adilkhan: так ну
[06.05.2025, 17:24:54] Adilkhan: я скачивал бесплатно
[06.05.2025, 17:25:08] Adilkhan: там через офф сайт был деплоймент тул
[06.05.2025, 17:25:12] Adilkhan: но его щас убрали
[06.05.2025, 17:25:28] Adilkhan: а так бесплатно же можно в онлайн версии пользоваться
[06.05.2025, 17:25:32] Nurseit: А то у нас файналы требуют работу с презенташками и текстовыми документами
[06.05.2025, 17:25:53] Nurseit: Университетская лицензия лишь позволяет работать с интернет версией что топорно нереально
[06.05.2025, 17:26:05] Adilkhan: аа
[06.05.2025, 17:26:08] Adilkhan: ну я щас чекну
[06.05.2025, 17:26:16] Adilkhan: у меня как раз еще утром просили тоже
[06.05.2025, 17:26:24] Adilkhan: офис сделать там
[06.05.2025, 17:26:29] Nurseit: Да я думаю как крякнуть
[06.05.2025, 17:26:43] Nurseit: В ютубе чет такие варианты будто «скачай и хапни вирус»
[06.05.2025, 17:26:55] Nurseit: А ты сам не юзаешь оффис?
‎[06.05.2025, 17:28:17] Adilkhan: ‎audio omitted
[06.05.2025, 17:31:26] Nurseit: От души
[06.05.2025, 17:35:29] Nurseit: А погоди
[06.05.2025, 17:35:35] Nurseit: Так она в месяц стоит 4100
[06.05.2025, 17:35:50] Nurseit: Я куплю тогда чем париться
[06.05.2025, 17:35:58] Adilkhan: бля
[06.05.2025, 17:36:03] Adilkhan: а че реально
[06.05.2025, 17:36:05] Adilkhan: вроде же
[06.05.2025, 17:36:07] Adilkhan: много стоилд
[06.05.2025, 17:36:09] Adilkhan: 30 чтоли
[06.05.2025, 17:36:22] Nurseit: Или даже с пацанами скинуться семейный аккаунт который в месяц 5090
[06.05.2025, 17:36:36] Nurseit: Это в год персональный 40100
[06.05.2025, 17:36:43] Adilkhan: аа
[11.05.2025, 10:55:14] Adilkhan: салам
[11.05.2025, 10:55:17] Adilkhan: четам
[11.05.2025, 10:55:22] Adilkhan: ты подал в мессину?
[11.05.2025, 11:00:24] Nurseit: Уалейкум ассалям брат
[11.05.2025, 11:00:34] Nurseit: Нще нет
[11.05.2025, 11:00:36] Nurseit: Как ты
[11.05.2025, 11:00:49] Nurseit: Жду диплом апостилизированный
[11.05.2025, 11:01:31] Adilkhan: пойдет
[11.05.2025, 11:01:34] Adilkhan: ааа
[11.05.2025, 11:01:35] Adilkhan: окей
[11.05.2025, 12:15:35] Nurseit: Че там чем занят
[11.05.2025, 12:15:41] Nurseit: Че с пацанами соберемся?
[11.05.2025, 12:15:47] Nurseit: Или уже к июню ?
[11.05.2025, 12:15:56] Adilkhan: дипломку пишу
[11.05.2025, 12:15:58] Adilkhan: ты че
[11.05.2025, 12:16:04] Nurseit: Да щас в клинике
[11.05.2025, 12:16:10] Adilkhan: я вот хз
[11.05.2025, 12:16:12] Adilkhan: наверное
[11.05.2025, 12:16:15] Adilkhan: а че
[11.05.2025, 12:16:15] Nurseit: Мне кажется так
[11.05.2025, 12:16:23] Nurseit: Потому что все экзаменами заняты
[11.05.2025, 12:16:29] Adilkhan: я еще на работу выйду
[11.05.2025, 12:16:30] Nurseit: Да брекеты снять брат
[11.05.2025, 12:16:32] Adilkhan: и там да
[11.05.2025, 12:16:35] Adilkhan: смотреть надо будет
[11.05.2025, 12:16:37] Adilkhan: ааа
[11.05.2025, 12:16:37] Nurseit: Ооо тема
[11.05.2025, 12:16:39] Adilkhan: кайф
[11.05.2025, 12:16:40] Nurseit: Аха
[11.05.2025, 12:16:49] Adilkhan: непривычно будет
[11.05.2025, 12:16:54] Adilkhan: зубы гладкие будут
[11.05.2025, 12:16:57] Nurseit: Аха
[11.05.2025, 12:17:01] Nurseit: И губы станут меньше
[11.05.2025, 12:17:09] Adilkhan: даа
[11.05.2025, 12:17:11] Adilkhan: вот и кайф
[11.05.2025, 12:17:18] Adilkhan: я тоже помню бомбил
[11.05.2025, 12:17:20] Adilkhan: из за губ
[11.05.2025, 12:17:22] Adilkhan: выпирают
[11.05.2025, 12:17:24] Adilkhan: и снял
[11.05.2025, 12:17:24] Nurseit: Аха, а то большие губы будто негр становишься
[11.05.2025, 12:17:27] Adilkhan: все заебись
[11.05.2025, 12:17:28] Adilkhan: секс
[11.05.2025, 12:17:32] Adilkhan: ЭАХАХАХАХ
[11.05.2025, 12:17:40] Adilkhan: ты тоже же быстро загараешь
[11.05.2025, 12:17:45] Nurseit: Ахахахахахха
[11.05.2025, 12:17:48] Nurseit: Я понял к чему ты
[11.05.2025, 12:17:52] Nurseit: )
[11.05.2025, 12:17:54] Adilkhan: нуну
‎[11.05.2025, 12:18:03] Nurseit: ‎image omitted
[11.05.2025, 12:18:10] Nurseit: За рулем прикинь девушка
[11.05.2025, 12:18:15] Nurseit: Номера пипец
[11.05.2025, 12:18:44] Adilkhan: ебать
[11.05.2025, 12:18:47] Adilkhan: гг
[11.05.2025, 12:18:53] Nurseit: Аха
[11.05.2025, 12:19:04] Nurseit: Видел да сзади глаза?
[11.05.2025, 12:19:25] Adilkhan: где
[11.05.2025, 12:19:50] Nurseit: На стекле
[11.05.2025, 12:20:20] Adilkhan: а ебать
[11.05.2025, 12:20:21] Adilkhan: аххахахах
[11.05.2025, 12:21:07] Nurseit: Хахахах
